Date,,,,Temp (deg C),Salinity,DO (mg/L),Chla (ug/L),DOC (mg/L),DOC:DON,SUVA,HIX,BIX,Max Fl (QSU),a350 (m-1)
Mar.2010,Mar,3/1/2010,Mean,7,6.1,11.3,15.1,6.8126392,29.4,3.8,10,0.5,35.6,14.4
,Mar,3/1/2010,Min,6.5,0.1,8.8,3.5,5.3605093,23.9,1.7,7.8,0.4,15.6,7
,Mar,3/1/2010,Max,7.9,17.3,13.6,41.4,7.3363188,36,5,12.9,0.6,42.3,19.7
Apr.2010,Apr,4/1/2010,Mean,19.9,3.8,6.9,10,9.656844,27.2,3.8,12.5,0.5,49.2,21.7
,Apr,4/1/2010,Min,18.4,0.1,1.6,50,6.4775323,18.5,1.5,9.7,0.4,33.7,9.5
,Apr,4/1/2010,Max,22.3,17.4,12.4,15.7,13.3526287,55.5,5.5,16.2,0.6,75.5,32.8
May.2010,May,5/1/2010,Mean,24.1,4.7,7.3,6.4,7.5296959,25.5,3.4,9.1,0.6,40.4,13
,May,5/1/2010,Min,22.9,0.1,5.8,3,5.6739964,15.1,2.5,7.4,0.5,27,8.2
,May,5/1/2010,Max,26.1,12.2,10,10.9,8.8016608,36.5,4.3,10.3,0.6,51,18.4
Jun.2010,Jun,6/1/2010,Mean,29.8,6.3,5.4,9,7.2029967,20.9,2.9,9.4,0.6,39.4,10.6
,Jun,6/1/2010,Min,28.3,0.1,0.7,3.4,6.4174773,17.2,2.3,7.8,0.5,31.3,6.7
,Jun,6/1/2010,Max,33.7,13.1,9.1,14.7,8.6491211,23,3.8,12.1,0.7,54.1,16.7
Jul.2010,Jul,7/1/2010,Mean,29.6,9.6,6.2,4.9,6.3742377,23.2,2.8,7.3,0.7,31.6,7.7
,Jul,7/1/2010,Min,28.7,0.1,2.3,0.3,5.4217654,18.1,2.3,5.6,0.6,22.8,5.4
,Jul,7/1/2010,Max,32.2,17.5,8.3,9.5,8.7608234,29.5,3.4,8.4,0.8,43.3,12.3
Aug.2010,Aug,8/1/2010,Mean,30.4,10.2,5.2,7.3,6.1484309,21.5,3,6.9,0.7,32,9
,Aug,8/1/2010,Min,29.3,0.1,0.7,3.7,4.8128077,19.3,2.3,5,0.6,22.6,4.9
,Aug,8/1/2010,Max,32,18.6,9.1,13.7,7.6738279,25.2,4,9.5,0.8,44.9,15.8
Sept.2010,Sep,9/1/2010,Mean,26.1,9.1,6.3,9.6,6.6925292,18.9,3.2,6.8,0.7,40.6,10
,Sep,9/1/2010,Min,24.9,0.1,0.6,3.9,5.6259524,15,2.4,4.4,0.6,24.2,5.4
,Sep,9/1/2010,Max,27.2,15.8,9.4,35.6,8.6311046,22.2,4.6,10.2,0.8,68.2,20.4
Oct.2010,Oct,10/1/2010,Mean,19.8,11.5,4.9,7.1,8.0257502,20.3,3.5,10,0.6,45.3,16.2
,Oct,10/1/2010,Min,17.8,0.1,0.5,3.5,4.672279,11.3,1.2,5.8,0.5,17.7,4.3
,Oct,10/1/2010,Max,21.6,20.8,8.9,13.2,10.9155968,32.4,7.6,14.1,0.7,84.9,31.3
Nov.2010,Nov,11/1/2010,Mean,13.9,7.5,9.1,8.5,8.1975075,20.4,3,9.6,0.6,47.5,12.6
,Nov,11/1/2010,Min,12.9,0.1,7.8,4.5,7.0804845,17,1.6,8.4,0.5,36.5,7.9
,Nov,11/1/2010,Max,14.8,13.5,10.5,14,9.0791149,25.2,4.4,11.4,0.6,57.5,14.8
Dec.2010,Dec,12/1/2010,Mean,3.7,9.5,12.1,9,7.194589,21.6,3.3,8.5,0.6,35.3,12.1
,Dec,12/1/2010,Min,2.6,0.1,10.9,4.1,6.2168936,17.9,2.4,6.2,0.5,24.9,7.7
,Dec,12/1/2010,Max,5.5,16.1,13,13.7,7.8660039,24.4,4.2,11,0.7,45.4,19.1
Jan.2011,Jan,1/1/2011,Mean,4.8,10.4,12.9,25.3,6.3742377,24.7,3,7.8,0.6,30.1,9.2
,Jan,1/1/2011,Min,3.6,0.1,11.1,4.5,5.344895,19.1,2.5,6.1,0.5,23,6.2
,Jan,1/1/2011,Max,6,17.5,14.2,70.4,7.3231067,29,3.7,9.6,0.7,35.4,12.3
Feb.2011,Feb,2/1/2011,Mean,8.4,7.4,11.2,20.7,7.1981923,25.7,3.2,8.4,0.6,34.2,12.6
,Feb,2/1/2011,Min,7.4,0.1,8.6,7.4,5.9634615,20.6,2.8,6.8,0.5,23,6.8
,Feb,2/1/2011,Max,9.1,15.1,13.5,50.3,8.3080087,33.3,4,11.1,0.7,44.2,18
